Accuracy,loss,,,,,Accuracy,loss,,,,,Accuracy,loss,,,,,Accuracy,loss,,,
0,0.025016176,,0.273952318,0.019417835,,0.109375,0.025087943,,0.24224,0.02019,,0,0.025155848,,0.257259648,0.020184663,,0.21875,0.02511484,,0.249904769,0.020898965
0.2109375,0.022866516,,0.350470786,0.014178308,,0.140625,0.02371754,,0.37963,0.01625,,0.1484375,0.023747829,,0.380322802,0.015019331,,0.203125,0.024142503,,0.302463529,0.015731969
0.260416687,0.021435228,,0.48127565,0.012965314,,0.197916672,0.022178616,,0.36561,0.01532,,0.197916672,0.0225535,,0.429859251,0.014380177,,0.25,0.022830759,,0.324983488,0.015002729
0.27734375,0.020118882,,0.486782496,0.012037411,,0.2109375,0.021068197,,0.3807,0.01449,,0.207843155,0.021618085,,0.446156405,0.013474423,,0.23046875,0.022334211,,0.394668922,0.014273084
0.287499994,0.019466919,,0.488202681,0.011332947,,0.228125006,0.020199898,,0.40575,0.01344,,0.247648895,0.02058392,,0.467431533,0.012843205,,0.21875,0.021505839,,0.389838907,0.013609597
0.315104187,0.018214046,,0.528952549,0.010589709,,0.255208343,0.019504195,,0.42684,0.01254,,0.276762396,0.020087141,,0.48428308,0.01209435,,0.234375,0.020530624,,0.398136827,0.012936568
0.319196433,0.018404237,,0.548349366,0.009880971,,0.279017866,0.019171282,,0.44911,0.01164,,0.299776286,0.019188669,,0.495647249,0.011185549,,0.252232164,0.020001368,,0.409384725,0.012251992
0.3203125,0.018136778,,0.577611218,0.009134838,,0.291015625,0.018769171,,0.48045,0.01079,,0.330724061,0.018583292,,0.546283955,0.010355226,,0.265625,0.019512468,,0.444074596,0.011504806
0.326388896,0.017680785,,0.593310629,0.00849339,,0.293913037,0.018549116,,0.51369,0.00998,,0.346086949,0.018059307,,0.569543213,0.009625726,,0.269097239,0.019322257,,0.461400062,0.010804805
0.328125,0.017429382,,0.620710676,0.007854896,,0.302034438,0.018309922,,0.52299,0.00918,,0.345852882,0.017837086,,0.591261089,0.009019904,,0.28125,0.018850535,,0.481191888,0.010083826
0.325284094,0.017207242,,0.672035277,0.007041128,,0.300142258,0.018035493,,0.56558,0.00847,,0.347083926,0.017496975,,0.587609808,0.008800553,,0.288352281,0.018456961,,0.506154599,0.009378776
