Accuracy,loss,,,,,Accuracy,loss,,,,,Accuracy,loss,,,,,Accuracy,loss,,,
0.328125,0.023958892,,0.305060797,0.021043204,,0.015625,0.024500918,,0.254895303,0.022279535,,0.109375,0.025167305,,0.26357,0.02293,,0.046875,0.025124859,,0.251545601,0.022918755
0.28125,0.02356905,,0.405928977,0.015384796,,0.1640625,0.024059471,,0.353899186,0.014951868,,0.171875,0.024776521,,0.3272,0.01629,,0.1953125,0.024789968,,0.332112859,0.015897674
0.25,0.023046677,,0.429149988,0.014107092,,0.229166672,0.023568286,,0.354138245,0.014314999,,0.223958343,0.024365853,,0.3319,0.01531,,0.209424078,0.024551928,,0.33653408,0.014982339
0.2578125,0.022493524,,0.439594756,0.01330918,,0.262745112,0.023110268,,0.442016477,0.0136457,,0.26953125,0.023911622,,0.33902,0.01475,,0.247058839,0.02400861,,0.338628031,0.014359141
0.309375018,0.021889752,,0.452793477,0.012858687,,0.297805637,0.02270548,,0.452895403,0.013337936,,0.284375012,0.023494495,,0.34355,0.01451,,0.26332289,0.023637095,,0.383518557,0.01419717
0.307291687,0.021269358,,0.460435939,0.012306889,,0.310704976,0.022236413,,0.458780828,0.012950498,,0.299479187,0.02304938,,0.35565,0.01435,,0.274151444,0.023234515,,0.445952487,0.013912354
0.3125,0.020610426,,0.477975885,0.011741921,,0.295302004,0.021927421,,0.460947983,0.01266078,,0.299776286,0.02265995,,0.38105,0.0141,,0.290827751,0.022747082,,0.442496878,0.013430767
0.31640625,0.02003622,,0.489940969,0.011044203,,0.289628178,0.021778218,,0.493704937,0.012405557,,0.305283755,0.022155129,,0.43385,0.0137,,0.291585118,0.022319495,,0.453816645,0.012918708
0.322916657,0.019457168,,0.539565539,0.010265964,,0.288695663,0.021281143,,0.495852495,0.012189711,,0.304347843,0.0217766,,0.41235,0.01317,,0.29913044,0.021853125,,0.469567207,0.01231211
0.317187518,0.019210814,,0.559771881,0.009580465,,0.294209689,0.021126143,,0.485124049,0.011956836,,0.298904538,0.021563132,,0.4238,0.01256,,0.294209689,0.021395495,,0.474284157,0.011622491
0.326704562,0.018618423,,0.552671403,0.0090109,,0.304409683,0.020765243,,0.492768834,0.011717044,,0.298719764,0.021300585,,0.42795,0.01199,,0.301564723,0.020916068,,0.492250962,0.01085054
0.331160367,0.018358139,,0.568244457,0.008447339,,0.306388527,0.020295421,,0.493104679,0.011316697,,0.297262043,0.020925277,,0.43545,0.01158,,0.305084735,0.020446825,,0.5142708,0.010081661
0.484375,0.01506375,,0.604758884,0.007770291,,0.40625,0.014875637,,0.515743643,0.010669359,,0.359375,0.016378619,,0.41457,0.01143,,0.375,0.01440292,,0.533484588,0.009342848
0.40625,0.017022941,,0.661484927,0.007074667,,0.3671875,0.014895364,,0.531261459,0.010049163,,0.3046875,0.017444159,,0.43902,0.01089,,0.359375,0.016366678,,0.563500846,0.008554156
0.395833343,0.01596666,,0.696085831,0.006420977,,0.369791687,0.014533343,,0.562936535,0.009571641,,0.3125,0.017313371,,0.52231,0.00994,,0.31937173,0.017799817,,0.608632768,0.007812025
0.38671875,0.015725154,,0.698732649,0.005817535,,0.356862754,0.01445278,,0.555756365,0.00917387,,0.328125,0.016645695,,0.52032,0.00929,,0.329411775,0.0167165,,0.640310511,0.007120116
0.40625,0.015686644,,0.703523924,0.005363681,,0.363636345,0.014637863,,0.598019029,0.008692788,,0.328125,0.016252976,,0.55384,0.00885,,0.329153597,0.016501603,,0.690804298,0.006482215
0.3984375,0.015428273,,0.715710094,0.00498303,,0.365535259,0.014662351,,0.580314453,0.008279351,,0.3359375,0.015960009,,0.53588,0.00854,,0.328981727,0.016190629,,0.676774785,0.006075291
0.39062503,0.015312447,,0.698266124,0.004920718,,0.342281878,0.014746465,,0.6311029,0.007550652,,0.333333343,0.015968501,,0.52974,0.00834,,0.319910526,0.015995283,,0.679416572,0.006031396
0.388671875,0.015037576,,0.752814417,0.003999341,,0.330724061,0.015338988,,0.617959544,0.007118781,,0.33463797,0.015673999,,0.58768,0.00762,,0.320939332,0.015758275,,0.711760129,0.005718342
0.402777791,0.014947942,,0.788983454,0.003595845,,0.325217396,0.01523913,,0.63744169,0.006649529,,0.330434799,0.015740401,,0.63517,0.00691,,0.313043475,0.01555849,,0.734619389,0.004931982
0.396874994,0.01492434,,0.793300818,0.003230164,,0.327073544,0.015426922,,0.665289337,0.00613502,,0.322378725,0.015969183,,0.68558,0.00629,,0.320813775,0.015299418,,0.793634623,0.004022445
