Accuracy,loss,,,,,,Accuracy,loss,,,,,,,Accuracy,loss,,,,,Accuracy,loss,,,
Accuracy,loss,,,,,,0.203125,0.023594595,,0.25301689,0.01839067,,,,0.015625,0.025600964,,0.232478523,0.019445342,,0.046875,0.024766808,,0.246289032,0.019764882
0.15625,0.025276029,,,0.26096224,0.019028295,,0.2265625,0.021038206,,0.430726709,0.013847036,,,,0.171875,0.022735626,,0.328814914,0.015348615,,0.181102365,0.023365746,,0.445880361,0.014564055
0.2578125,0.021436755,,,0.440125632,0.013669984,,0.255208343,0.019426602,,0.44691997,0.013170997,,,,0.214659691,0.021238144,,0.364058216,0.014548847,,0.240837693,0.021843972,,0.413792786,0.013755647
0.256544501,0.020486452,,,0.440315994,0.012466459,,0.23046875,0.019441832,,0.46688198,0.01240915,,,,0.239215702,0.020112549,,0.393842943,0.013548473,,0.262745112,0.020729779,,0.444816202,0.012815607
0.262745112,0.019740843,,,0.470338079,0.011595687,,0.237499997,0.018360827,,0.478098469,0.01181163,,,,0.241379306,0.019287997,,0.396261881,0.012697207,,0.26332289,0.019358603,,0.485392754,0.012034818
0.250783682,0.019368647,,,0.504968372,0.010725909,,0.263020843,0.017586399,,0.494792297,0.01120885,,,,0.248041779,0.01879503,,0.430008409,0.011980427,,0.268929511,0.019275692,,0.500554298,0.011282176
0.276762396,0.018631292,,,0.539914355,0.009850161,,0.255033553,0.01762458,,0.522231502,0.010524373,,,,0.259507835,0.018272249,,0.438921183,0.011300574,,0.277404934,0.018792435,,0.523954486,0.010587486
0.290827751,0.017771058,,,0.561709677,0.008991123,,0.264187872,0.017055925,,0.553458472,0.009888174,,,,0.264187872,0.017935039,,0.466594857,0.010561247,,0.27592954,0.018310303,,0.535113091,0.009927264
0.285714269,0.017581152,,,0.584654629,0.008158953,,0.259130448,0.01700144,,0.603464762,0.009277151,,,,0.271304339,0.017654665,,0.477862375,0.00979658,,0.28347826,0.017888991,,0.574116175,0.009255249
0.269565225,0.017555738,,,0.621830056,0.007344506,,0.264475733,0.016782226,,0.624878397,0.008677406,,,,0.28325507,0.017469819,,0.518211404,0.009094173,,0.28482002,0.017804032,,0.594968284,0.008599682
0.264475733,0.017019875,,,0.645592491,0.006643661,,0.280227602,0.016342418,,0.62830916,0.008078703,,,,0.287339956,0.017236996,,0.552589407,0.008489313,,0.284495026,0.017635405,,0.600136712,0.007957712
0.274537683,0.016835972,,,0.671512112,0.006016123,,0.297262043,0.016432994,,0.658936113,0.007363251,,,,0.293350726,0.017005031,,0.576849744,0.007946749,,0.285528034,0.017406822,,0.63557151,0.007334829
0.285528034,0.016635722,,,0.696567451,0.00542829,,0.5,0.012881186,,0.659412399,0.006725423,,,,0.3125,0.01678938,,0.620906408,0.007466304,,0.53125,0.013360846,,0.664924229,0.006770739
0.484375,0.011354889,,,0.73262694,0.00486281,,0.46875,0.012917316,,0.691027865,0.006223448,,,,0.34375,0.015624767,,0.645812343,0.007084148,,0.464566916,0.013927895,,0.689680417,0.006274676
0.4921875,0.013523334,,,0.7475004,0.004353806,,0.46875,0.013234815,,0.713369856,0.0057364,,,,0.314136118,0.016012279,,0.659070084,0.006840561,,0.455497384,0.014812701,,0.714584634,0.005838394
0.450261772,0.014467225,,,0.764834334,0.003894281,,0.421875,0.014284682,,0.723280966,0.005292601,,,,0.329411775,0.015500418,,0.666777859,0.006325766,,0.447058856,0.014992098,,0.722851783,0.005474607
0.443137288,0.014056838,,,0.798679759,0.003491811,,0.431250006,0.01414576,,0.732956087,0.004916323,,,,0.319749206,0.015261579,,0.689418649,0.006097613,,0.457680225,0.014421558,,0.745539496,0.005206185
0.423197478,0.014290931,,,0.821759393,0.00316294,,0.421875,0.014020129,,0.727205674,0.004712719,,,,0.323759794,0.015240444,,0.674113447,0.006269313,,0.436031342,0.014971116,,0.743403877,0.005045042
0.417754591,0.014263191,,,0.836014847,0.002964316,,0.407158852,0.014345992,,0.700424458,0.005307221,,,,0.328859061,0.01512998,,0.685727422,0.006148905,,0.44295302,0.014804015,,0.739707564,0.004975616
0.42281878,0.013869052,,,0.812958762,0.003031132,,0.405088067,0.014178455,,0.711627161,0.005367909,,,,0.330724061,0.015031793,,0.691216071,0.005404488,,0.438356161,0.014708346,,0.725761692,0.004955385
0.424657524,0.013868563,,,0.766482249,0.003246445,,0.406956524,0.014157192,,0.756817485,0.004185745,,,,0.330434799,0.014987271,,0.723924577,0.005143691,,0.422608703,0.014617906,,0.704657301,0.005594318
0.427826107,0.013807091,,,0.72302561,0.004163028,,0.410015643,0.014065888,,0.79893212,0.003712017,,,,0.336463213,0.014944815,,0.75410669,0.004921289,,0.417840362,0.014793102,,0.601904417,0.007764407
0.43035993,0.013478168,,,0.774878596,0.003659601,,0.411095291,0.013860435,,0.813062703,0.003265652,,,,0.335704118,0.01486871,,0.750818491,0.004755411,,0.418207675,0.014704805,,0.596290633,0.00946053
0.428164989,0.013559809,,,0.767049481,0.003774827,,0.415906131,0.014072581,,0.820003654,0.003094537,,,,0.340286821,0.014791944,,0.757739673,0.004764232,,0.418513685,0.014654272,,0.48227796,0.010934769
